SEXO,IDADE,REGIME,FACCAO,CARGO_FACCAO,UNIDADE
30,42,1647,,,639335
30,31,2405,,,584662
30,47,1647,,,105693
30,30,2405,,,584662
30,28,1647,,,704585
30,41,1646,,,112971
30,29,1647,,,960097
30,27,1647,,,816503
30,30,1647,,,994414
30,41,1647,,,704971
30,33,1647,,,960097
30,23,1647,,,190238
30,41,1647,,,639335
30,66,1647,,,105693
30,30,1647,,,960097
30,23,2402,,,250958
30,30,2401,,,495478
30,20,2403,,,746323
30,22,1646,,,657728
30,39,1647,,,925279
30,35,1646,,,584662
30,33,1647,,,190238
31,41,1647,,,36233
30,24,1647,,,523461
30,37,1647,,,112971
30,31,2403,,,559396
30,26,1646,,,704971
30,26,2402,,,746323
30,36,1647,,,639335
30,38,1647,,,523461
30,30,1647,,,523461
30,33,1647,,,250958
30,30,1647,,,250958
30,52,2402,,,112971
30,24,1647,,,190238
30,40,2409,,,280293
30,35,1647,,,190238
30,26,1647,,,559396
30,21,2402,,,704585
30,30,1646,,,212316
30,25,1647,,,657728
30,34,1650,,,960097
30,25,2401,,,960097
30,25,1647,,,621558
30,33,1647,,,112971
30,31,1647,,,746323
30,28,1646,,,112971
30,27,1647,,,112971
30,28,1647,,,820657
30,37,1647,,,621558
30,23,2403,,,250958
30,23,2409,,,280293
30,29,1647,,,925279
30,34,1646,,,925279
30,,1650,,,820657
30,39,1647,,,950426
30,40,1647,,,925279
30,36,2401,,,975291
30,22,1647,,,960097
30,23,1646,,,816503
30,28,2402,,,746323
30,33,1647,,,447403
30,35,1647,,,495478
30,36,1646,,,925279
30,24,1647,,,495478
30,29,1646,,,577141
30,24,1647,,,495478
30,29,1647,,,621558
30,29,2402,,,250958
30,27,1647,,,495478
30,34,1646,,,975291
30,26,1650,,,639335
30,28,1647,,,657728
30,63,2405,,,584662
31,34,1647,,,36233
30,27,2403,,,105693
30,30,1647,,,284873
30,31,2401,,,657728
30,31,1647,,,322353
30,38,1647,,,657728
30,33,2403,,,960097
30,35,1647,,,495478
30,31,1647,,,559396
30,40,1647,,,559396
30,26,1647,,,657728
30,38,1647,,,530032
30,22,1647,,,925279
30,57,1647,,,704971
30,32,1646,,,577141
30,34,1647,,,925279
30,21,2405,,,584662
30,22,1647,,,212316
30,,1647,,,994414
30,27,1647,,,559396
30,31,1647,,,523461
30,63,1650,,,558029
30,54,2402,,,112971
30,32,1647,,,559396
30,34,1647,,,307137
30,28,1647,,,190238
30,32,2406,,,584662
30,36,2402,,,495478
30,38,1647,,,105693
30,25,1647,,,250958
30,44,1647,,,746323
30,32,1646,,,591440
30,54,1647,,,704971
30,34,1647,,,322353
30,20,1647,,,639335
30,60,1647,,,925279
30,22,1647,,,495478
30,37,1646,,,639335
30,27,1647,,,657728
30,50,1646,,,577141
30,31,1647,,,523461
30,36,1647,,,975291
30,26,1647,,,925279
30,24,1646,,,746323
30,24,2401,,,657728
30,25,1647,,,190238
30,50,1646,,,326340
30,30,1647,,,250958
30,31,1647,,,925279
30,34,1647,,,989300
30,41,1647,,,746323
30,20,1647,,,495478
30,28,2405,,,584662
30,25,1646,,,563930
30,50,1647,,,447403
30,36,1647,,,559396
30,35,2410,,,657728
30,43,1647,,,105693
30,21,1647,,,975291
30,28,2401,,,250958
30,21,1647,,,414074
30,45,1647,,,746323
30,49,2402,,,591098
30,27,1647,,,250958
30,33,1647,,,112971
30,34,1647,,,250958
30,24,1647,,,559396
30,52,1647,,,591098
30,30,1647,,,559396
30,41,2403,,,322353
30,34,1647,,,925279
30,25,1647,,,559396
30,26,1646,,,495478
30,30,1647,,,962437
30,25,2403,,,559396
30,26,1647,,,559396
30,56,1647,,,112971
30,21,1647,,,639335
30,37,2405,,,584662
30,22,1647,,,559396
30,22,1647,,,563930
30,25,1646,,,746323
30,25,1647,,,190238
30,34,1647,,,112971
30,35,1647,,,530032
31,,1647,,,36233
30,24,2403,,,816503
30,27,1647,,,190238
30,23,1647,,,250958
30,37,1647,,,820657
31,37,1646,,,36233
30,27,1647,,,663771
30,24,1647,,,563930
30,36,2408,,,280293
31,50,1647,,,36233
30,25,1647,,,530032
30,23,1647,,,559396
30,24,2401,,,960097
30,41,1647,,,105693
30,27,1647,,,621558
30,26,2403,,,190238
30,28,1647,,,994415
30,21,1647,,,558029
31,35,1646,,,36233
30,19,2403,,,960097
30,24,1646,,,883316
30,23,2405,,,584662
30,67,1646,,,105693
30,38,1646,,,530032
30,33,1647,,,250958
30,69,2405,,,584662
30,30,1647,,,960097
30,21,1646,,,530032
30,59,1647,,,322353
30,31,1647,,,495478
30,35,1647,,,639335
